Date,SPY,QQQ,VIX,TLT,GLD
2015-02-10,171.26788330078125,96.1287612915039,17.229999542236328,96.04644775390625,118.47000122070312
2015-02-11,171.3671875,96.4786605834961,16.959999084472656,96.22412872314453,117.06999969482422
2015-02-12,173.01516723632812,97.60198974609375,15.34000015258789,95.90576934814453,117.33999633789062
2015-02-13,173.72743225097656,98.43991088867188,14.6899995803833,94.9208984375,117.9800033569336
2015-02-17,174.0006866455078,98.53197479248047,15.800000190734863,93.49185180664062,116.01000213623047
2015-02-18,174.01730346679688,98.67008972167969,15.449999809265137,94.0471420288086,116.33999633789062
2015-02-19,173.89300537109375,99.1581039428711,15.289999961853027,93.42522430419922,115.94000244140625
2015-02-20,174.93650817871094,99.82106018066406,14.300000190734863,93.69914245605469,115.27999877929688
2015-02-23,174.91163635253906,99.92234802246094,14.5600004196167,94.77279663085938,115.43000030517578
2015-02-24,175.40855407714844,99.99600219726562,13.6899995803833,96.01683807373047,115.26000213623047
2015-02-25,175.25942993164062,99.74738311767578,13.84000015258789,96.43144989013672,115.69999694824219
2015-02-26,175.05242919921875,100.25382232666016,13.90999984741211,95.11343383789062,116.06999969482422
2015-02-27,174.4561309814453,99.8118667602539,13.34000015258789,95.91313934326172,116.16000366210938
2015-03-02,175.55758666992188,100.71421813964844,13.039999961853027,94.1266860961914,115.68000030517578
2015-03-03,174.8371124267578,100.24462127685547,13.859999656677246,93.78535461425781,115.47000122070312
2015-03-04,174.10006713867188,99.85790252685547,14.229999542236328,93.8150405883789,115.11000061035156
2015-03-05,174.29063415527344,100.0328369140625,14.039999961853027,93.69635009765625,115.0
2015-03-06,171.8392333984375,98.90028381347656,15.199999809265137,91.62641906738281,111.86000061035156
2015-03-09,172.55145263671875,99.18572235107422,15.0600004196167,92.47217559814453,111.97000122070312
2015-03-10,169.7523193359375,97.34417724609375,16.690000534057617,93.68892669677734,111.41999816894531
2015-03-11,169.35484313964844,96.7824935913086,16.8700008392334,94.37147521972656,110.75
2015-03-12,171.5080108642578,97.41783142089844,15.420000076293945,94.30472564697266,110.72000122070312
2015-03-13,170.45628356933594,96.9942626953125,16.0,94.01532745361328,110.87999725341797
2015-03-16,172.73361206054688,98.24653625488281,15.609999656677246,94.9204330444336,110.80999755859375
2015-03-17,172.2201690673828,98.403076171875,15.65999984741211,95.70696258544922,110.20999908447266
2015-03-18,174.29063415527344,99.36985778808594,13.970000267028809,97.55424499511719,112.37000274658203
2015-03-19,173.4955291748047,99.5171890258789,14.069999694824219,97.0572509765625,112.29000091552734
2015-03-20,175.02691650390625,100.16139221191406,13.020000457763672,97.569091796875,113.56999969482422
2015-03-23,174.6859588623047,99.96756744384766,13.40999984741211,97.45045471191406,114.29000091552734
2015-03-24,173.70436096191406,99.60765838623047,13.619999885559082,98.39265441894531,114.56999969482422
2015-03-25,171.15890502929688,97.32810974121094,15.4399995803833,97.56171417236328,114.7300033569336
2015-03-26,170.7512969970703,96.99588012695312,15.800000190734863,96.04076385498047,115.4800033569336
2015-03-27,171.14227294921875,97.38349914550781,15.069999694824219,97.23526000976562,115.05999755859375
