date,regime,confidence,gated_regime,wf_regime,alloc_SP500,alloc_Bonds,alloc_Gold,alloc_Cash,strategy_ret,spy_ret
2020-08-13,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004767,-0.001808
2020-08-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002071,3e-05
2020-08-17,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.007328,0.003176
2020-08-18,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004349,0.00216
2020-08-19,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.011136,-0.004164
2020-08-20,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.004193,0.003114
2020-08-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.00085,0.003547
2020-08-24,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001009,0.010133
2020-08-25,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000816,0.003499
2020-08-26,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00378,0.010026
2020-08-27,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.006652,0.002187
2020-08-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.005711,0.006459
2020-08-31,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001682,-0.003622
2020-09-01,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003587,0.009418
2020-09-02,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000589,0.014464
2020-09-03,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.005304,-0.034415
2020-09-04,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.003786,-0.008164
2020-09-08,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002082,-0.027323
2020-09-09,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00435,0.019748
2020-09-10,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001687,-0.017364
2020-09-11,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000461,0.000509
2020-09-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003673,0.013171
2020-09-15,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000699,0.005052
2020-09-16,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000144,-0.003968
2020-09-17,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001915,-0.008796
2020-09-18,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001379,-0.011513
2020-09-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.006124,-0.011129
2020-09-22,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000594,0.010184
2020-09-23,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.008533,-0.02319
2020-09-24,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002148,0.002665
2020-09-25,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000762,0.016167
2020-09-28,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.00411,0.016609
2020-09-29,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.002216,-0.005446
2020-09-30,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.00296,0.007582
2020-10-01,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003648,0.00642
2020-10-02,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001965,-0.009494
2020-10-05,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.000673,0.017733
2020-10-06,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.003872,-0.014216
2020-10-07,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000147,0.017407
2020-10-08,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.003033,0.008862
2020-10-09,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.006304,0.00893
2020-10-12,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001384,0.016087
2020-10-13,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.003939,-0.006526
2020-10-14,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000758,-0.006283
2020-10-15,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.000625,-0.001236
2020-10-16,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.001656,-0.000604
2020-10-19,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-0.002125,-0.015203
2020-10-20,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,-5.6e-05,0.004006
2020-10-21,Macro,1.0,Macro,Bull,0.1,0.2,0.3,0.4,0.001379,-0.001893
